item_key,display_name,class,subclass,stackable,max_stack,has_condition,bulk,weight,grid_cells,value,rarity,compatible,ammo,caliber,magazine_size,armor_rating,protection,capacity,script_class
Wipes,Wipes,Medical,,False,0,False,0.1,0.1,1.0,120,1,,,,,,0,0.0,ItemData
Blanket,Blanket,Misc,,False,0,False,6.0,0.5,12.0,75,0,,,,,,0,0.0,ItemData
Board_Game,B. Game,Misc,,False,0,False,0.8,0.2,4.0,140,1,,,,,,0,0.0,ItemData
Bucket,Bucket,Misc,,False,0,False,2.7,0.3,9.0,25,0,,,,,,0,0.0,ItemData
Coffee_Filter,C. Filter,Misc,,False,0,False,0.8,0.2,4.0,75,1,,,,,,0,0.0,ItemData
Duct_Tape,D. Tape,Misc,,False,0,False,0.2,0.2,1.0,50,0,,,,,,0,0.0,ItemData
Happy_Stove,H. Stove,Misc,,False,0,False,1.0,0.25,4.0,220,1,,,,,,0,0.0,ItemData
Jerry_Can,Jerry C.,Misc,,False,0,True,31.5,3.5,9.0,120,1,,,,,,0,0.0,ItemData
Lumber,Lumber,Misc,,False,0,False,320.0,20.0,16.0,150,0,,,,,,0,0.0,ItemData
Map,Map,Misc,,False,0,False,0.8,0.2,4.0,250,1,,,,,,0,0.0,ItemData
Map_Tactical,Map (Tactical),Misc,,False,0,False,0.4,0.2,2.0,250,1,,,,,,0,0.0,ItemData
Matches,Mat.,Misc,Matches,True,300,False,0.1,0.1,1.0,20,0,,,,,,0,0.0,ItemData
Mattress,Mattress,Misc,,False,0,False,94.5,4.5,21.0,110,0,,,,,,0,0.0,ItemData
Mess_Kit,Mess Kit,Misc,,False,0,False,3.2,0.8,4.0,250,1,,,,,,0,0.0,ItemData
Nails,Nails,Misc,,False,0,False,4.4,2.2,2.0,50,0,,,,,,0,0.0,ItemData
Oil_Filter,O. Filter,Misc,,False,0,False,0.6,0.3,2.0,180,1,,,,,,0,0.0,ItemData
Pillow,Pillow,Misc,,False,0,False,1.2,0.2,6.0,50,0,,,,,,0,0.0,ItemData
Rags,Rags,Misc,,False,0,False,0.2,0.1,2.0,20,0,,,,,,0,0.0,ItemData
Sleeping_Bag,S. Bag,Misc,,False,0,False,15.0,2.5,6.0,450,1,,,,,,0,0.0,ItemData
Tackle_Box,Tackle B.,Misc,,False,0,False,15.0,2.5,6.0,370,1,,,,,,0,0.0,ItemData
Toilet_Paper,T. Paper,Misc,,False,0,False,0.1,0.1,1.0,25,0,,,,,,0,0.0,ItemData
Toolbox,Toolbox,Misc,,False,0,False,27.0,4.5,6.0,375,1,,,,,,0,0.0,ItemData
Water_Lock,W. Lock,Misc,,False,0,False,0.1,0.1,1.0,150,2,,,,,,0,0.0,ItemData
Weapon_Repair_Kit,Repair Kit,Misc,,False,0,False,15.0,2.5,6.0,2750,1,,,,,,0,0.0,ItemData
K19,K19,Rig,,False,0,False,9.9,1.1,9.0,450,1,Armor_Plate_II|Armor_Plate_IIIA|Armor_Plate_III|Armor_Plate_III_Plus|Armor_Plate_IV,,,,,0,10.0,ItemData
LVPC_Green,LVPC,Rig,,False,0,False,4.5,0.5,9.0,380,1,Armor_Plate_II|Armor_Plate_IIIA|Armor_Plate_III|Armor_Plate_III_Plus|Armor_Plate_IV,,,,,0,10.0,ItemData
LVPC_M05,LVPC,Rig,,False,0,False,4.5,0.5,9.0,380,1,Armor_Plate_II|Armor_Plate_IIIA|Armor_Plate_III|Armor_Plate_III_Plus|Armor_Plate_IV,,,,,0,10.0,ItemData
LVPC_Winter,LVPC,Rig,,False,0,False,4.5,0.5,9.0,380,1,Armor_Plate_II|Armor_Plate_IIIA|Armor_Plate_III|Armor_Plate_III_Plus|Armor_Plate_IV,,,,,0,10.0,ItemData
Vest_Fishing,F. Vest,Rig,,False,0,False,9.6,0.8,12.0,140,0,,,,,,0,15.0,ItemData
AKM,KA-M,Weapon,Rifle,False,0,True,40.8,3.4,12.0,1200,0,AKM_Magazine|ACOG|EXPS|HMR|Kobra|Leopard|Micro|MRO|PBS|PRO|PTN|Vudu,Ammo_762x39,7.62x39,30,,0,0.0,WeaponData
AKS_74U,KAS-74U,Weapon,Rifle,False,0,True,28.0,2.8,10.0,850,0,AKS_74U_Magazine|ACOG|EXPS|HMR|Kobra|Leopard|Micro|MRO|PBS|PRO|PTN|Vudu,Ammo_545x39,5.45x39,30,,0,0.0,WeaponData
AK_12,KA-12,Weapon,Rifle,False,0,True,42.0,3.5,12.0,2200,0,AK_12_Magazine|ACOG|EXPS|HMR|Kobra|Leopard|Micro|MRO|OZ5|PBS|PRO|PTN|Vudu|ANPEQ,Ammo_545x39,5.45x39,30,,0,0.0,WeaponData
Colt_1911,C1911,Weapon,Pistol,False,0,True,6.6,1.1,6.0,550,0,Colt_1911_Magazine|Rider,Ammo_45ACP,.45 ACP,8,,0,0.0,WeaponData
Glock_17,G7,Weapon,Pistol,False,0,True,3.9,0.65,6.0,700,0,Glock_17_Magazine|Rider|RMR|SRO,Ammo_9x19,9×19,17,,0,0.0,WeaponData
HK416,K416,Weapon,Rifle,False,0,True,45.6,3.8,12.0,4950,1,STANAG_Magazine|ACOG|EXPS|HMR|Hybrid|Kobra|Leopard|Micro|Monster|MRO|OZ5|PRO|SOCOM|Thor|Vudu|ANPEQ,Ammo_223,.223,30,,0,0.0,WeaponData
KAR_21_223,KAR-21,Weapon,Rifle,False,0,True,44.4,3.7,12.0,3800,1,KAR_21_223_Magazine|ACOG|EXPS|HMR|Hybrid|Kobra|Leopard|Micro|Monster|MRO|OZ5|PRO|SOCOM|Thor|Vudu|ANPEQ,Ammo_223,.223,30,,0,0.0,WeaponData
KAR_21_308,KAR-21,Weapon,Rifle,False,0,True,45.6,3.8,12.0,4200,1,KAR_21_308_Magazine|ACOG|EXPS|HMR|Hybrid|Kobra|Leopard|Micro|Monster|MRO|OZ5|PRO|SOCOM|Thor|Vudu|ANPEQ,Ammo_308,.308,30,,0,0.0,WeaponData
KP_31,KP-31,Weapon,SMG,False,0,True,46.0,4.6,10.0,5200,2,KP_31_Drum,Ammo_9x19,9x19,70,,0,0.0,WeaponData
M4A1,M4A1,Weapon,Rifle,False,0,True,36.0,3.0,12.0,3850,0,STANAG_Magazine|ACOG|EXPS|HMR|Hybrid|Kobra|Leopard|Micro|Monster|MRO|OZ5|PRO|SOCOM|Thor|Vudu|ANPEQ,Ammo_223,.223,30,,0,0.0,WeaponData
M78,M78,Weapon,Rifle,False,0,True,67.2,4.8,14.0,4650,2,M78_Magazine|ACOG|EXPS|HMR|Hybrid|Kobra|Leopard|Micro|Monster|MRO|PRO|SOCOM|Thor|Vudu,Ammo_308,.308,20,,0,0.0,WeaponData
MK18,KM18,Weapon,Rifle,False,0,True,33.0,2.75,12.0,3250,1,STANAG_Magazine|ACOG|EXPS|HMR|Hybrid|Kobra|Leopard|Micro|Monster|MRO|OZ5|PRO|SOCOM|Thor|Vudu|ANPEQ,Ammo_223,.223,30,,0,0.0,WeaponData
MP5,PM5,Weapon,SMG,False,0,True,20.8,2.6,8.0,2450,0,MP5_Magazine|ACOG|EXPS|HMR|Hybrid|Kobra|Leopard|Micro|MRO|Navy|PRO|Vudu,Ammo_9x19,9x19,30,,0,0.0,WeaponData
MP5K,PM5-K,Weapon,SMG,False,0,True,12.0,2.0,6.0,1850,0,MP5_Magazine|ACOG|EXPS|HMR|Hybrid|Kobra|Leopard|Micro|MRO|Navy|PRO|Vudu,Ammo_9x19,9x19,30,,0,0.0,WeaponData
MP5SD,PM5-SD,Weapon,SMG,False,0,True,28.0,2.8,10.0,3400,1,MP5_Magazine|ACOG|EXPS|HMR|Kobra|Leopard|Micro|MRO|OZ5|PRO|Vudu,Ammo_9x19,9x19,30,,0,0.0,WeaponData
MP7,PM7,Weapon,,False,0,True,16.8,2.1,8.0,4150,1,MP7_Magazine|ACOG|EXPS|HMR|Hybrid|Kobra|Leopard|Micro|MRO|OZ5|PRO|Vudu|ANPEQ,Ammo_46x30,4.6x30,40,,0,0.0,WeaponData
Makarov,Karov,Weapon,Pistol,False,0,True,3.0,0.75,4.0,250,0,Makarov_Magazine,Ammo_9x18,9×18,8,,0,0.0,WeaponData
Mosin,Mosin,Weapon,Bolt,False,5,True,56.0,4.0,14.0,450,0,PU,Ammo_762x54R,7.62x54R,5,,0,0.0,WeaponData
P320,P3,Weapon,Pistol,False,0,True,4.8,0.8,6.0,1150,1,P320_Magazine|Rider|RMR|SRO,Ammo_9x19,9×19,17,,0,0.0,WeaponData
RK_62,RK-62,Weapon,Rifle,False,0,True,45.6,3.8,12.0,2200,0,RK_Magazine|ACOG|EXPS|HMR|Hybrid|Kobra|Leopard|Micro|Monster|MRO|PRO|SOCOM|Thor|Vudu,Ammo_762x39,7.62x39,30,,0,0.0,WeaponData
RK_62M,RK-62M,Weapon,Rifle,False,0,True,45.6,3.8,12.0,4200,2,RK_Magazine|ACOG|EXPS|HMR|Hybrid|Kobra|Leopard|Micro|Monster|MRO|OZ5|PRO|SOCOM|Thor|Vudu|ANPEQ,Ammo_762x39,7.62x39,30,,0,0.0,WeaponData
RK_95,RK-95,Weapon,Rifle,False,0,True,45.6,3.8,12.0,2200,0,RK_Magazine|ACOG|EXPS|HMR|Hybrid|Kobra|Leopard|Micro|Monster|MRO|PRO|SOCOM|Thor|Vudu,Ammo_762x39,7.62x39,30,,0,0.0,WeaponData
Remington_870,RM-870,Weapon,Shotgun,False,8,True,43.2,3.6,12.0,550,0,Salvo,Ammo_12x70,12/70,10,,0,0.0,WeaponData
SVD,VSD,Weapon,Rifle,False,0,True,84.8,5.3,16.0,4650,1,SVD_Magazine|ACOG|EXPS|HMR|Kobra|Leopard|Micro|MRO|PBS|POSP|PRO|PTN|Vudu,Ammo_762x54R,7.62x54R,10,,0,0.0,WeaponData
VSS,SSV,Weapon,Rifle,False,0,True,28.0,2.8,10.0,4700,2,VSS_Magazine|ACOG|EXPS|HMR|Kobra|Leopard|Micro|MRO|POSP|PRO|Vudu,Ammo_9x39,9x39,20,,0,0.0,WeaponData
